event_time,new_order_ids,completed_ids,locked_ids,pending_count,reoptimized_order_count,frozen_future_order_count,warm_start_count,population_size,max_generations,actual_generations,elapsed_seconds,time_budget_hit,early_stop_triggered,fallback_used,fallback_level,best_fitness,final_A_count,final_B_count,final_C_count,unserved_order_ids
2348.9,,,,10,8,2,12,30,60,0,26.611604690551758,True,False,False,none,11827.232189436376,9,1,0,
2449.9,,,,11,8,3,12,30,60,0,26.26480722427368,True,False,False,none,13907.343628351162,10,1,0,
2521.9,,,,11,8,3,12,30,60,0,27.401992082595825,True,False,False,none,14484.297588205933,8,2,1,
2570.9,,,,11,8,3,8,30,60,0,28.275084257125854,True,False,False,none,17504.068915844164,10,1,0,
2652.9,,,,11,8,3,10,30,60,0,21.7697536945343,True,False,False,none,26126.320780324284,10,1,0,
2740.9,,,,12,8,4,12,30,60,0,24.30113410949707,True,False,False,none,34793.836139809806,11,1,0,
2792.9,,,,13,8,5,12,30,60,0,28.648592472076416,True,False,False,none,44466.533361722126,12,1,0,
2847.9,,,,13,8,5,12,30,60,0,26.24461054801941,True,False,False,none,54920.32993741829,12,1,0,
2896.9,,,,14,8,6,12,30,60,0,26.2783465385437,True,False,False,none,61218.88456605405,13,1,0,
2946.9,,,,14,8,6,12,30,60,0,31.193732023239136,True,False,False,none,74205.1975997865,13,1,0,
3003.9,,,,15,8,7,12,30,60,0,28.44194746017456,True,False,False,none,82854.04596166663,14,1,0,
120.3,,,,17,8,9,10,30,60,0,20.606593132019043,True,False,False,none,1369.3974566691895,13,4,0,
210.3,,,,16,8,8,11,30,60,0,39.728389263153076,True,False,False,none,1269.214405634506,12,4,0,
450.3,,,,16,8,8,12,30,60,0,24.015710830688477,True,False,False,none,22712.40146414774,12,4,0,
